Incident Type,Incident year,Reported Month,Region of Origin,Region of Incident,Country of Origin,Number of Dead,Minimum Estimated Number of Missing,Total Number of Dead and Missing,Number of Survivors,Number of Females,Number of Males,Number of Children,Cause of Death,Migration route,Location of death,Information Source,Coordinates,UNSD Geographical Grouping
Incident,2014,January,Central America,North America,Guatemala,1,0,1,0,0,1,0,Mixed or unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),"31.650259, -110.366453",Northern America
Incident,2014,January,Latin America / Caribbean (P),North America,Unknown,1,0,1,0,0,0,0,Mixed or unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),"31.59713, -111.73756",Northern America
Incident,2014,January,Latin America / Caribbean (P),North America,Unknown,1,0,1,0,0,0,0,Mixed or unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),"31.94026, -113.01125",Northern America
Incident,2014,January,Central America,North America,Mexico,1,0,1,0,0,1,0,Violence,US-Mexico border crossing,"near Douglas, Arizona, USA","Ministry of Foreign Affairs Mexico, Pima County Office of the Medical Examiner (PCOME)","31.506777, -109.315632",Northern America
Incident,2014,January,Northern Africa,Europe,Sudan,1,0,1,2,0,1,0,"Harsh environmental conditions / lack of adequate shelter, food, water",0,Border between Russia and Estonia,EUBusiness (Agence France-Presse),"59.1551, 28",Northern Europe
Incident,2014,January,Latin America / Caribbean (P),North America,Unknown,1,0,1,0,0,0,0,Violence,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),"32.45435, -113.18402",Northern America
Incident,2014,January,Unknown,Mediterranean,"Afghanistan,Syrian Arab Republic",12,0,12,0,9,0,3,Drowning,Eastern Mediterranean,Waters near Greece while being towed back to Turkey,European Council on Refugees and Exiles,"37.2832, 27",Uncategorized
Incident,2014,January,Latin America / Caribbean (P),North America,Unknown,1,0,1,0,0,0,0,Mixed or unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),"32.478317, -113.182833",Northern America
Incident,2014,January,Latin America / Caribbean (P),North America,Unknown,1,0,1,0,0,0,0,Mixed or unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),"31.81154, -111.01101",Northern America
Incident,2014,January,Latin America / Caribbean (P),North America,Unknown,1,0,1,0,0,0,0,Mixed or unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),"32.174017, -112.174583",Northern America
Incident,2014,January,Central America,North America,Mexico,1,0,1,0,0,1,0,Mixed or unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),"32.40291, -113.02935",Northern America
Incident,2014,January,Latin America / Caribbean (P),North America,Unknown,1,0,1,0,0,0,0,Mixed or unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),"32.159, -112.919",Northern America
Incident,2014,January,Latin America / Caribbean (P),North America,Unknown,1,0,1,0,0,0,0,Mixed or unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),"32.481483, -111.654933",Northern America
Incident,2014,January,Latin America / Caribbean (P),North America,Unknown,1,0,1,0,0,0,0,Mixed or unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),"32.481683, -111.654933",Northern America
Incident,2014,January,Southern Asia,Europe,Iran (Islamic Republic of),1,0,1,2,0,1,1,Vehicle accident / death linked to hazardous transport,English Channel to the UK,France - Calais,Calais Migrant Solidarity ,"50.9355, 2",Western Europe
Incident,2014,January,Caribbean,Caribbean,Haiti,1,0,1,0,0,1,1,Drowning,Caribbean to US,"Off the coast of Fort Lauderdale, Florida",Local10.com,"26.116, -80",Caribbean
Cumulative Incident,2014,February,South-eastern Asia,South-eastern Asia,Myanmar,5,0,5,500,0,5,0,Sickness / lack of access to adequate healthcare,0,"Hat Yai hospital, 182 Ratthakan, Hat Yai, Hat Yai District, Songkhla 90110",Manager Online,"7.0167471, 100.4674982",South-eastern Asia
Incident,2014,February,Unknown,Mediterranean,"Cameroon,Unknown",15,0,15,0,0,1,0,Violence,Western Mediterranean,Ceuta waters,L'Espresso,"35.8793, -5",Uncategorized
Incident,2014,February,Latin America / Caribbean (P),North America,Unknown,1,0,1,0,0,0,0,Mixed or unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),"31.8054, -111.854867",Northern America
Incident,2014,February,Latin America / Caribbean (P),North America,Unknown,1,0,1,0,0,0,0,Mixed or unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),"31.992833, -111.385833",Northern America
Incident,2014,February,Latin America / Caribbean (P),North America,Unknown,1,0,1,0,0,0,0,Mixed or unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),"32.17305, -112.20211",Northern America
Incident,2014,February,Eastern Africa,Mediterranean,Somalia,2,0,2,121,0,2,0,Mixed or unknown,Central Mediterranean,Italy waters,Malta Today,"34.5645, 16",Uncategorized
Incident,2014,February,Latin America / Caribbean (P),North America,Unknown,1,0,1,0,0,0,0,Mixed or unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),"32.00768, -112.1726",Northern America
Incident,2014,February,Central America,North America,Mexico,1,0,1,2,0,1,0,Violence,US-Mexico border crossing,"California-Mexico border near San Diego, California, USA",CNN,"32.5543, -117",Northern America
Incident,2014,February,Caribbean,Caribbean,Haiti,8,0,8,0,0,0,0,Drowning,Haiti to Dominican Republic,Dominican Republic,AP,"18.4505, -68",Caribbean
Incident,2014,February,Latin America / Caribbean (P),North America,Unknown,1,0,1,0,0,1,0,Mixed or unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),"31.82214, -111.96383",Northern America
Incident,2014,February,Latin America / Caribbean (P),North America,Unknown,1,0,1,0,0,0,0,Mixed or unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),"32.08795, -112.58407",Northern America
Incident,2014,February,Latin America / Caribbean (P),North America,Unknown,1,0,1,0,0,0,0,Mixed or unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),"32.0885, -112.44956",Northern America
Incident,2014,February,Southern Asia,Southern Asia,Bangladesh,1,0,1,0,0,1,0,Violence,0,India,Daily Star,"25.1841, 89",Southern Asia
Incident,2014,February,Eastern Africa,Eastern Africa,Ethiopia,11,6,17,0,0,0,0,Drowning,Horn of Africa to Yemen crossing,Gulf of Aden (left from Djibouti),IOM,"20.2802, 39",Uncategorized
Incident,2014,February,Eastern Africa,Mediterranean,Somalia,7,0,7,0,0,0,0,Violence,Central Mediterranean,Libyan Coast,Libya herald,"33.1597, 15",Uncategorized
Incident,2014,March,Central America,North America,Guatemala,1,0,1,0,1,0,0,"Harsh environmental conditions / lack of adequate shelter, food, water",US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),"31.759, -110.51916",Northern America
Incident,2014,March,Europe,Europe,Albania,1,0,1,0,0,1,0,Violence,English Channel to the UK,France - Calais (Killed on motorway),"La Voix du Nord, Daily Mail UK ","50.9365, 2",Western Europe
Incident,2014,March,Southern Asia,South-eastern Asia,Cambodia,5,0,5,4,2,3,0,Vehicle accident / death linked to hazardous transport,0,"Bypass Road, Moo 7, Bang Phra subdistrict, Sri Racha district, Chonburi province, Thailand","Manager Online, INN News, Khomchudluek","13.2353642, 101",South-eastern Asia
Incident,2014,March,Southern Asia,South-eastern Asia,Myanmar,2,0,2,10,0,2,0,Vehicle accident / death linked to hazardous transport,0,"Moo 13, 38th km of the 4006 Langsuan-Pato Road, Pato district, Chumphon province, Thailand","INN News, Manager Online, Daily News","9.96833, 99",South-eastern Asia
Incident,2014,March,South America,Central America,Ecuador,1,0,1,0,1,0,1,Violence,US-Mexico border crossing,"Río Bravo, Ciudad Juarez, Chihuahua, Mexico",New York Times ,"31.6904, -106.425",Central America
Incident,2014,March,Eastern Africa,Eastern Africa,"Ethiopia,Somalia",1,43,44,33,1,0,3,Drowning,Horn of Africa to Yemen crossing,Gulf of Aden,UNHCR,"12.5331, 48",Uncategorized
Incident,2014,March,Eastern Africa,Europe,Ethiopia,1,0,1,0,0,1,0,Vehicle accident / death linked to hazardous transport,English Channel to the UK,France - Calais (Hit by lorry in port),"France Info, Daily Mail UK ","50.9686, 2",Western Europe
Incident,2014,March,Central America,North America,El Salvador,1,0,1,0,0,0,0,Mixed or unknown,US-Mexico border crossing,"King Ranch, Brooks County, Texas, USA","Operation Identification, University of Texas","26.81120278, -97.74819915",Northern America
Incident,2014,March,Eastern Africa,Europe,Ethiopia,1,0,1,0,0,1,0,Mixed or unknown,English Channel to the UK,France - Calais (Body found on dock),Daily Mail UK ,"50.950273, 2",Western Europe
Incident,2014,March,Eastern Africa,Europe,Ethiopia,1,0,1,2,0,1,0,Vehicle accident / death linked to hazardous transport,English Channel to the UK,France - Calais (Body found crushed in transporter),Daily Mail UK ,"50.9688, 2",Western Europe
Incident,2014,March,Latin America / Caribbean (P),North America,Unknown,1,0,1,0,0,0,0,"Harsh environmental conditions / lack of adequate shelter, food, water",US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),"31.789033, -112.114583",Northern America
Incident,2014,March,Latin America / Caribbean (P),North America,Unknown,1,0,1,0,0,0,0,Mixed or unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),"32.1386, -112.326",Northern America
Incident,2014,March,Unknown,Mediterranean,Unknown,1,0,1,0,0,0,0,Vehicle accident / death linked to hazardous transport,Central Mediterranean,Mediterranean,Global post,"34.9797, 13",Uncategorized
Incident,2014,March,Western Asia,Mediterranean,Syrian Arab Republic,7,2,9,8,1,1,1,Drowning,Eastern Mediterranean,"Waters near Lesvos, Greece",Guardian,"39.398814, 26",Uncategorized
Incident,2014,March,Middle Africa,Eastern Africa,Congo,251,0,251,50,0,0,0,Drowning,0,"Lake Albert, Uganda/DRC",BBC (UNHCR),"1.63236, 31",Eastern Africa
Incident,2014,March,Latin America / Caribbean (P),North America,Unknown,1,0,1,0,0,1,0,Mixed or unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),"31.558, -111.183",Northern America
Incident,2014,March,Latin America / Caribbean (P),North America,Unknown,1,0,1,0,0,0,0,Mixed or unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),"31.94755, -112.06415",Northern America
Incident,2014,March,Latin America / Caribbean (P),North America,Unknown,1,0,1,0,0,0,0,Mixed or unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),"31.85666, -111.62433",Northern America
Incident,2014,March,Central America,Central America,Guatemala,1,0,1,0,1,0,0,Vehicle accident / death linked to hazardous transport,0,"Comitan, Chiapas, Mexico",El Siglo de Torreon,"16.2299602, -92",Central America
Incident,2014,March,Latin America / Caribbean (P),North America,Unknown,1,0,1,0,1,0,0,Mixed or unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),"31.688867, -111.862733",Northern America
Incident,2014,March,Latin America / Caribbean (P),North America,Unknown,1,0,1,0,0,1,0,Mixed or unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),"32.3085, -111.7528",Northern America
Incident,2014,March,Central America,North America,El Salvador,1,0,1,0,0,1,0,Accidental death,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Nogales International and Pima County Office of the Medical Examiner (PCOME),"31.33271, -110.93813",Northern America
Incident,2014,April,Central America,North America,Mexico,1,0,1,0,0,1,0,Mixed or unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),"31.354017, -110.989383",Northern America
Incident,2014,April,Eastern Africa,Eastern Africa,Zimbabwe,17,0,17,0,0,0,0,Drowning,0,"Limpopo River, Zimbabwe",AllAfrica,"-23.8148, 32",Eastern Africa
Incident,2014,April,Unknown,Mediterranean,Unknown,1,0,1,661,0,0,0,Mixed or unknown,Central Mediterranean,Italy waters,Deutsche Welle,"35.1092, 14",Uncategorized
Incident,2014,April,Latin America / Caribbean (P),North America,Unknown,1,0,1,0,0,0,0,Mixed or unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),"32.03171, -112.42503",Northern America
Incident,2014,April,Latin America / Caribbean (P),North America,Unknown,1,0,1,0,0,0,0,Mixed or unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),"31.836217, -111.9419",Northern America
Incident,2014,April,Latin America / Caribbean (P),North America,Unknown,1,0,1,0,0,1,0,Mixed or unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),"32.12865, -111.330983",Northern America
Incident,2014,April,Latin America / Caribbean (P),North America,Unknown,1,0,1,0,0,0,0,Mixed or unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),"32.178733, -112.5039",Northern America
Incident,2014,April,Latin America / Caribbean (P),North America,Unknown,1,0,1,0,0,0,0,Mixed or unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),"32.09045, -112.246033",Northern America
Split Incident,2014,April,Eastern Africa,Northern Africa,"Eritrea,Ethiopia,Sudan,Unknown",10,0,10,309,0,0,0,"Harsh environmental conditions / lack of adequate shelter, food, water",Sahara Desert crossing,Sudanese-Libyan desert,Agence France Presse,"23.3112, 22",Northern Africa
